"Country","ContinentCode","Year","GDP","INF","UER","TR","RL","UP","CR","GE","PS","HI","HDI"
"El Salvador","NA","2020",-8.58,-0.4,6.25,18.6,-0.75,73.44,-0.56,-0.23,6.49,6.06,0.673
"Estonia","EU","2015",1.85,-0.5,6.19,21.64,1.33,68.42,1.29,1.06,1.32,5.43,0.871
"Estonia","EU","2020",-2.95,-0.4,6.8,21.18,1.37,69.23,1.61,1.33,1.33,6.19,0.892
"Ethiopia","AF","2015",10.39,9.6,2.27,8.35,-0.51,19.43,-0.45,-0.66,100.84,4.51,0.453
"Ethiopia","AF","2020",6.06,20.4,3.24,6.2,-0.39,21.69,-0.36,-0.55,114.96,4.28,0.485
"Finland","EU","2015",0.54,-0.2,9.38,20.47,2.08,85.22,2.26,1.87,5.48,7.41,0.919
"Finland","EU","2020",-2.3,0.3,7.76,19.85,2.07,85.52,2.2,1.94,5.53,7.84,0.938
"France","EU","2015",1.11,0,10.35,23.2,1.39,79.65,1.28,1.44,66.55,6.58,0.888
"France","EU","2020",-7.86,0.5,8.01,24.78,1.32,80.97,1.15,1.24,67.38,6.69,0.901
"Georgia","AS","2015",3.02,4,16.51,22.75,0.24,57.45,0.73,0.33,3.73,4.3,0.771
"Georgia","AS","2020",-6.76,5.2,18.5,21.41,0.24,59.45,0.63,0.75,3.72,4.89,0.812
"Germany","EU","2015",1.49,0.5,4.62,11.48,1.79,77.2,1.81,1.68,81.69,6.75,0.933
"Germany","EU","2020",-4.57,0.5,3.81,10.67,1.55,77.45,1.86,1.35,83.16,7.16,0.947
"Ghana","AF","2015",2.12,17.1,6.81,11.69,0.14,54.09,-0.19,-0.29,27.85,4.63,0.585
"Ghana","AF","2020",0.51,9.9,4.65,11.34,-0.05,57.35,-0.11,-0.17,31.07,5.09,0.611
"Guatemala","NA","2015",4.09,2.4,2.51,10.36,-0.94,49.97,-0.76,-0.74,15.57,6.12,0.647
"Guatemala","NA","2020",-1.52,3.2,3.55,9.97,-1.08,51.84,-1.11,-0.69,16.86,6.44,0.663
